"","spygen_code","habitat"
"1","SPY201149","meadow_rocks_sandy_bed"
"2","SPY201150","meadow_rocks_sandy_bed"
"3","SPY201151","meadow_rocks_sandy_bed"
"4","SPY201152","meadow_rocks_sandy_bed"
"5","SPY201157","meadow_rocks_sandy_bed"
"6","SPY201158","meadow_rocks_sandy_bed"
"7","SPY201175","meadow_rocks_sandy_bed"
"8","SPY201176","meadow_rocks_sandy_bed"
"9","SPY201177","meadow_rocks_sandy_bed"
"10","SPY201179","meadow_rocks_sandy_bed"
"11","SPY201187","meadow_rocks_sandy_bed"
"12","SPY201191","meadow_rocks_sandy_bed"
"13","SPY201192","meadow_rocks_sandy_bed"
"14","SPY201193","meadow_rocks_sandy_bed"
"15","SPY201198","meadow_rocks_sandy_bed"
"16","SPY202492","meadow_rocks_sandy_bed"
"17","SPY202496","meadow_rocks_sandy_bed"
"18","SPY202498","meadow_rocks_sandy_bed"
"19","SPY202499","meadow_rocks_sandy_bed"
"20","SPY202500","meadow_rocks_sandy_bed"
"21","SPY210647","meadow"
"22","SPY210652","meadow"
"23","SPY210695","meadow"
"24","SPY210696","meadow"
"25","SPY210697","meadow"
"26","SPY210698","meadow"
"27","SPY210699","meadow"
"28","SPY210700","meadow"
"29","SPY210705","meadow"
"30","SPY210710","meadow"
"31","SPY231655","sandy_bed"
"32","SPY231656","sandy_bed"
"33","SPY231657","sandy_bed"
"34","SPY231658","sandy_bed"
"35","SPY231659","sandy_bed"
"36","SPY231660","sandy_bed"
"37","SPY231661","sandy_bed"
"38","SPY231662","sandy_bed"
"39","SPY231663","sandy_bed"
"40","SPY231664","sandy_bed"
"41","SPY231665","sandy_bed"
"42","SPY231666","sandy_bed"
"43","SPY231667","sandy_bed"
"44","SPY231668","sandy_bed"
"45","SPY231677","sandy_bed"
"46","SPY231678","sandy_bed"
"47","SPY231679","sandy_bed"
"48","SPY231680","sandy_bed"
"49","SPY231683","sandy_bed"
"50","SPY231684","sandy_bed"
"51","SPY231685","sandy_bed"
"52","SPY231686","sandy_bed"
"53","SPY231687","sandy_bed"
"54","SPY231688","sandy_bed"
"55","SPY231689","sandy_bed"
"56","SPY231690","sandy_bed"
"57","SPY231697","sandy_bed"
"58","SPY231698","sandy_bed"
"59","SPY231699","sandy_bed"
"60","SPY231700","sandy_bed"
"61","SPY231701","sandy_bed"
"62","SPY231702","sandy_bed"
"63","SPY231703","sandy_bed"
"64","SPY231704","sandy_bed"
"65","SPY231705","sandy_bed"
"66","SPY231706","sandy_bed"
"67","SPY231707","sandy_bed"
"68","SPY231708","sandy_bed"
"69","SPY231709","sandy_bed"
"70","SPY231710","sandy_bed"
"71","SPY231711","sandy_bed"
"72","SPY231712","sandy_bed"
"73","SPY231774","sandy_bed"
"74","SPY231775","sandy_bed"
"75","SPY231776","sandy_bed"
"76","SPY231777","sandy_bed"
"77","SPY231778","sandy_bed"
"78","SPY231779","sandy_bed"
"79","SPY231780","sandy_bed"
"80","SPY231781","sandy_bed"
"81","SPY231782","sandy_bed"
"82","SPY231783","sandy_bed"
"83","SPY231784","sandy_bed"
"84","SPY231785","sandy_bed"
"85","SPY231786","sandy_bed"
"86","SPY231787","sandy_bed"
"87","SPY231788","sandy_bed"
"88","SPY231789","sandy_bed"
"89","SPY231790","sandy_bed"
"90","SPY231791","sandy_bed"
"91","SPY231792","sandy_bed"
"92","SPY231793","sandy_bed"
"93","SPY231794","sandy_bed"
"94","SPY231795","sandy_bed"
"95","SPY231796","sandy_bed"
"96","SPY231797","sandy_bed"
"97","SPY231798","sandy_bed"
"98","SPY231903","coralligenous"
"99","SPY231904","coralligenous"
"100","SPY231905","meadow"
"101","SPY231906","meadow"
"102","SPY231907","meadow"
"103","SPY231908","meadow"
"104","SPY231909","coralligenous"
"105","SPY231910","coralligenous"
"106","SPY231911","coralligenous"
"107","SPY231915","meadow"
"108","SPY231916","meadow"
"109","SPY232830","meadow"
"110","SPY232831","meadow"
"111","SPY232833","meadow"
"112","SPY232834","meadow"
